,nome,tipo,endereco,lei,nome_oficial,area,latitude,longitude
442,Largo Dona Regina,Praça,Rua Bujaru/ Rua Nova Descoberta,,Praça Largo Dona Regina,"470,8349635",-8.018561394,-34.92618305
443,Heiji Gemba,Praça,Rua Heiji Gemba,,Praça Heiji Gemba,"290,4975636",-8.132921301,-34.90436301
444,Dr Alberto Wanderley,Praça,Avenida Cidade De Monteiro/Rua Dr Alberto Wanderley,,Praça Doutor Alberto Wanderley,"232,2953399",-8.009162474,-34.88836702
445,Gustavo Barrozo,Praça,Travessa Alto Da Serrinha/R Gustavo Barrozo,,Praça Gustavo Barrozo,"97,09871192",-8.012405066,-34.91221086
446,São Pedro,Praça,Rua Brazopolis/ Avenida Brasilia Formosa,,Praça São Pedro,"501,3029252",-8.088754849,-34.88035131
447,Poço Da Panela,Praça,Estrada Real Do Poco,,Praça Poço da Panela,"1141,582813",-8.037073095,-34.92546349
448,Sarturnino De Brito,Praça,Avenida Sartunino De Brito/Rua Bituri,,Praça Saturnino de Brito,"827,2310477",-8.079493912,-34.89299581
449,Casa Forte,Praça,Rua Da Praca De Casa Forte,,Praça de Casa Forte,"2184,94935",-8.034613064,-34.9193523
450,Sérgio Loreto,Praça,Avenida Sul/Avenida Dantas Barreto/Rua Imperial/ Rua Da Concordia,01395/24,Praça Sérgio Loreto,"7751,003464",-8.07266317,-34.88476982
451,Da Rua Olivia Menelau,Area Verde,Rua Olivia Menelau,,,"86,27884584",-8.089426489,-34.91032224
452,Da Avenida Izabel De Goes,Area Verde,Avenida Izabel De Goes/Avenida Recife/Rua Antonio Vidal,,,"6974,87038",-8.090526773,-34.92996294
453,Da Avenida Mario Alvares Pereira De Lyra,Area Verde,Avenida Mario Alvares Pereira De Lyra/Rua Manoel Estevao Da Costa/ Rua Bom Pastor,,,"2794,406441",-8.04759017,-34.94038368
454,Da Rua Benfica,Area Verde,Rua Benfica,,,"184,0312467",-8.058779315,-34.9025264
455,Canavial,Praça,Rua Canavial/Rua Dr Luiz Ramos Leal,,Praça Canavial,"660,9426907",-8.000901107,-34.90160325
456,Da Avenida Historiador Jordao Emerenciano,Area Verde,Avenida Historiador Jordao Emerenciano/ Rua Quipapa/ Rua Veneza,,Praça Luiz de Lacerda,"799,8173836",-8.035896445,-34.94310322
457,Da Rua Alberico Glasner Da Rocha,Praça,Rua Alberico Glasner Da Rocha/Rua Prof Barros Lima/ Rua Dirceu Pessoa,,Praça Alberico Glasner da Rocha,"440,3239175",-8.023210481,-34.95766712
458,Monsenhor Francisco Apolonio  Jorge Sales,Praça,Rua Da Soledade/Rua Joao Fernandes Vieira,,Praça Francisco Apolônio Jorge Sales,"384,3941337",-8.056381656,-34.89004205
459,Da Rua Joaquim De Brito,Praça,Da Rua Joaquim De Brito/Rua Esperanto/Rua Jornalista Trajano Chacon/ Rua General Joaquim Inacio,,Praça da Rua Joaquim de Brito,"566,1284454",-8.063147243,-34.89352903
460,Dr  Pedro Cavalcanti,Praça,Rua Dr. Jose Maria/Rua Neto De Mendonça/Rua General Abreu E Lima/,17039/04,Praça Doutor Pedro Cavalcanti,"193,6409629",-8.03517934,-34.90017692
461,Joao Pereira Borges,Praça,Rua Manoel Caetano/ R Dr Osvaldo Lima/ R Guilherme Pinto/ R Clemente Pereira,17038/04,Praça João Pereira Borges,"601,3760925",-8.054339208,-34.90179053
462,Da Criança Alexandra Vilma Dias,Praça,Rua Doutor Benígno Jordão De Vasconcelos / Rua José Luiz De Oliveira Barros Sobrinho,16454/99,Praça da Criança Alexandra Vilma Dias,"803,6760348",-8.119642827,-34.95056318
463,Dr. Pádua Walfrido,Praça,Rua Rio Solimões/Rua Santa Joana D'Arc,15673/92,Praça Doutor Pádua Walfrido,"2922,975399",-8.097461844,-34.93703052
464,Franco Gomes Coutinho,Praça,Rua Dr Joao Elisio/ Avenida Central,14809/85,Praça Franco Gomes Coutinho,"481,8995068",-8.078626485,-34.91971566
465,Da Juventude,Praça,Rua Palmeirina / Rua Perdizes / Rua Panorama / Rua Sao Bento Do Una,14808/85,Praça da Juventude,"988,7063566",-8.117294235,-34.94616336
466,Vereador Carlos Duarte,Praça,Rua Capitão Lima/ Rua Do Veiga,16433/98,Praça Vereador Carlos Duarte,"120,9298389",-8.052914011,-34.87953664
467,Padre Romano Zuffery,Praça,Rua Dr Devaldo Borges/Rua Aguanil/Avenida Sao Paulo,15173/88,Praça El Salvador,"1006,411249",-8.080472999,-34.94025329
468,Queira Deus,Praça,Rua Falcão De Lacerda/ Rua Queira Deus,,Praça Queira Deus,"235,63978",-8.092483772,-34.96183406
469,Quinze  De Setembro,Praça,Rua Felipe De Oliveira/R Bernardino Da Costa/ R Louis Pasteur/ Rua Pedro Lessa,,Praça Quinze de Setembro,"1360,130887",-8.117062053,-34.91715269
470,Ana Lima Brandão,Praça,Rua Padre Alberione /R Jose Benedito Moury Fernandes/R Alheiros Maia/R Exp Sebastiao Clementino,12735/77,Praça Ana Lima Brandão,"2857,346456",-8.09549176,-34.94386536
471,Da Rua Arnoldo Magalhães,Praça,Rua Arnoldo Magalhães/Avenida Professor José Dos Anjos,,,"2491,631349",-8.027008037,-34.90924086
472,Compositor Antônio Maria,Praça,Rua Samuel Farias / Rua Nestor Silva / Rua Afonso De Albuquerque Melo,17744/2011,Praça Compositor Antônio Maria,"12446,94758",-8.040307848,-34.91378683
473,Do Caiara Jonathan Marques Da Cunha,Parque,Avenida Mauricio De Nassau / Rua Estevao Francisco Da Costa,,Parque Jonathan Marques da Cunha,"103155,2614",-8.041767548,-34.92317634
474,Jonathan Marques Da Cunha,Parque,Avenida Mauricio De Nassau,17746/2011,Parque Jonathan Marques da Cunha,"118767,2525",-8.03841897,-34.92763868
475,Jonathan Marques Da Cunha,Parque,Avenida Mauricio De Nassau,17746/2011,Parque Jonathan Marques da Cunha,"118767,2525",-8.040234263,-34.92601552
476,Doutor Fernando Figueira,Praça,Rua Marques Amorim / Rua Jose De Alencar/ Rua Estado De Israel,116903/03,Praça Dr Fernando Figueira,"6530,251296",-8.065514974,-34.89326168
477,De Apipucos,Parque,Rua Apipucos,25189/2010,Parque de Apipucos,"11755,15463",-8.021990604,-34.93320107
478,Provisória  Mauricio De Nassau E Duarte Coelho,Praça,Cais De Santa Rita,,Praça Maurício de Nassau e Duarte Coelho,"1159,353523",-8.071509944,-34.87621436
479,Da Tamarineira,Parque,Avenida Conselheiro Rosa E Silva / Rua Cônego Barata,17802/2012,Parque da Tamarineira,"56496,35901",-8.032919802,-34.90181629
480,João Francisco Lisboa,Praça,Rua  Joao Francisco Lisboa / Rua  Inacio De Barros Barreto,,Praça João Francisco Lisboa,"3904,960335",-8.053074889,-34.95955794
481,Do Terminal,Praça,Rua Dr Gil Francisco Da Rocha/Rua Capitão Amaro Cerqueira/ Rua Sargento Afonso Rodrigues,,Praça do Terminal,"208,9634088",-8.094489339,-34.92404121
482,Refugo,Praça,Rua Izabel De Goes/ Rua Antonio Vidal/ Avenida Recife,,Praça Izabel de Goes,"6974,87038",-8.090526773,-34.92996294
483,Zeppelin,Praça,Rua Lázaro Fontes/ Trv Lázaro Fontes/Avenida Dr. José Rufino,,Praça Zeppelin,"889,2605157",-8.083288224,-34.92522742
484,Do Tourão,Praça,Avenida Tapajós/Rua Ernesto Nazareth,,Praça do Tourão,"1339,494491",-8.092859902,-34.92536535
485,Infantil John F. Kennedy,Parque,Rua Itamonte/Rua Andira,,Praça Infantil John F. Kennedy,"630,25272",-8.081735785,-34.95581679
486,Professor Paulo Silveira Do Nascimento,Praça,Rua Daniel Antônio Rodrigues,,Praça Professor Paulo Silveira do Nascimento,"708,3548314",-8.083186297,-34.92185723
487,João Stanislau,Praça,Rua Rio Solimões/Rua Novo Horizonte/Rua Helio Almeida,,Praça João Stanislau,"976,5912136",-8.097661118,-34.93837157
488,Queira Deus,Praça,Rua Queira Deus,,Praça Queira Deus,"136,6842457",-8.092678047,-34.96173746
489,Dom Helder,Praça,Rua Quatro De Setembro/Rua Curua/Rua Padre José,,Praça Dom Helder,"315,4097477",-8.081500114,-34.95375576
490,Padre Romano Zuferey,Praça,Rua Maria Do Carmo Catunda/Rua Dr Devaldo Borges,,Praça Padre Romano Zuferey,"1083,915355",-8.078357109,-34.93973457
491,Maria Madalena Bispo,Praça,Estrada Do Curado/1Tr Sidrolandia,,Praça Maria Madalena Bispo,"79,15210465",-8.079585171,-34.9521782
492,Zeppelin,Praça,Rua Des Lopes Gama/  Rua Bonifácio De Andrade,,Praça Zeppelin,"518,0819457",-8.07290586,-34.92792277
493,,Praça,Rua Itabapoana / Rua Caetité/ Rua Braço Do Norte,,,"779,3793",-8.070007656,-34.90027463
494,Zumbi Dos Palmares,Praca,Avenida Jose Americo De Almeida,,Praça Zumbi dos Palmares,"707,2195171",-8.01054197,-34.9308843
495,Do Jordao / Da Rua Muniz Ferreira,Praça,Rua Jose Martorano / Rua Dr Andrade Lyra / Rua Dr Alvaro Ferraz /Rua Lima Campos,,Praça do Jordão,"1660,198027",-8.130438342,-34.93801131
496,De Santana,Parque,Rua Jorge Gomes De Sá / Rua Dr Abel Ventura,,Parque de Santana,"36299,97329",-8.042019233,-34.91782559
497,,Praca,Rua Maria  Adelaide Castelo Brancorua Joao Cordeiro De Souza,,Rua Maria Adelaide Castelo Branco,"1096,328153",-8.124246154,-34.95112973
498,,Praca,Rua Dr Rinaldo Victor Fernandes/ Rua Jose Augusto De Barros,,Praça da Rua José Augusto de Barros,"1719,914165",-8.086837182,-34.92314045
499,,Praca,Rua Pinheiro Machado/ Rua Professor Pacifico Pereira,,Praça da Rua Pinheiro Machado,"1144,303287",-8.134214402,-34.95134622
500,,Praca,Rua Professor Avertano Rocha/ Rua Des Capistrano De M E Silva,,Praça da Rua Professor Avertano Rocha,"1069,911478",-8.066851556,-34.93340057
501,,Praca,Rua Augusto Bamberg De Melo,,PRC   RUA AUGUSTO BAMBERG DE MELO,"1409,898113",-8.089731349,-34.94989529
502,,Praca,Rua Principe Da Beira,,Praça da Rua Príncipe da Beira,"4667,949812",-8.090665807,-34.92269581
503,,Praca,Rua Tristao Da Cunha/Rua Visconde De Santo Albino,,Praça da Rua Tristão da Cunha,"814,7004676",-8.134950419,-34.95371043
504,,Area Verde,Rua  Antonio Almeida/ Rua Celio Tavares,,,"1383,426958",-8.091539168,-34.91636613
