,ano,nome_entidade,data_ano_letivo_inicio,data_ano_letivo_termino
314,2017,ESCOLA MUNICIPAL DE BEBERIBE,2017-02-03T00:00:00,2017-12-22T00:00:00
315,2017,COLEGIO EVOLUCAO DO SABER,2017-02-01T00:00:00,2017-12-29T00:00:00
316,2017,ESCOLA MUNICIPAL VILA SANTA LUZIA,2017-02-03T00:00:00,2017-12-21T00:00:00
317,2017,ESCOLA E CURSOS PROFISSIONALIZANTES DE INF E ELETR,2017-01-02T00:00:00,2017-12-15T00:00:00
318,2017,EDUCANDARIO SIQUEIRA BRANDAO,2017-02-02T00:00:00,2017-12-29T00:00:00
319,2017,APOIO GRUPO DE ASSES EDUCAC E PEDAGOGICA,2017-02-01T00:00:00,2017-12-27T00:00:00
320,2017,ACADEMIA CRISTA DE BOA VIAGEM - UNIDADE II,2017-02-01T00:00:00,2017-12-29T00:00:00
321,2017,ESCOLA MUNICIPAL DOS TORROES,2017-02-11T00:00:00,2017-12-22T00:00:00
322,2017,ESCOLA MUNICIPAL PARQUE DOS MILAGRES,2017-02-03T00:00:00,2017-12-22T00:00:00
323,2017,ESCOLA MUNICIPAL CASARAO DO BARBALHO,2017-02-11T00:00:00,2017-12-22T00:00:00
324,2017,ESCOLA MUNICIPAL EDITE BRAGA,2017-02-03T00:00:00,2017-12-23T00:00:00
325,2017,CRECHE MUNICIPAL IRMA DULCE,2017-02-01T00:00:00,2017-12-22T00:00:00
326,2017,CENTRO EDUCACIONAL SUELI TAVARES,2017-02-02T00:00:00,2017-12-22T00:00:00
327,2017,CRECHE ESC RECIFE DARCY RIBEIRO,2017-02-03T00:00:00,2017-12-22T00:00:00
328,2017,ESCOLA MUNICIPAL KARLA PATRICIA,2017-02-03T00:00:00,2017-12-22T00:00:00
329,2017,ESCOLA MUNICIPAL BEATO EUGENIO MAZENOD,2017-02-03T00:00:00,2017-12-22T00:00:00
330,2017,COLEGIO GRANDE PASSO,2017-02-01T00:00:00,2017-12-28T00:00:00
331,2017,ESCOLA MUNICIPAL DE CASA AMARELA,2017-02-03T00:00:00,2017-12-22T00:00:00
332,2017,ESCOLA MUNICIPAL FREI TADEU GLASER,2017-02-11T00:00:00,2017-12-22T00:00:00
333,2017,ESCOLA OTHON BEZERRA DE MELO,2017-02-02T00:00:00,2017-12-22T00:00:00
334,2017,ESCOLA CAMINHANDO COM CRISTO,2017-02-01T00:00:00,2017-12-22T00:00:00
335,2017,ESCOLINHA ARTE E MANHA,2017-02-01T00:00:00,2017-12-29T00:00:00
336,2017,CMEI ESTRELA DA MANHA,2017-02-03T00:00:00,2017-12-22T00:00:00
337,2017,ESCOLA MUNICIPAL CIDADAO HERBERT DE SOUZA,2017-02-03T00:00:00,2017-12-22T00:00:00
338,2017,ESCOLA TOM E JERRY,2017-02-01T00:00:00,2017-12-20T00:00:00
339,2017,BASE COLEGIO E CURSO,2017-02-01T00:00:00,2017-12-29T00:00:00
340,2017,CENTRO EDUCACIONAL SINGULAR,2017-02-01T00:00:00,2017-12-29T00:00:00
341,2017,COLEGIO MEU PEQUENO MUNDO,2017-02-01T00:00:00,2017-12-27T00:00:00
342,2017,UNIVERSIDADE SALGADO DE OLIVEIRA - CAMPUS RECIFE,,
343,2017,GRUPO DE MAES DO IPSEP - CRECHE BRASIL,2017-02-01T00:00:00,2017-12-22T00:00:00
344,2017,CENTRO EDUCACIONAL BERNARDO LUCAS,2017-02-01T00:00:00,2017-12-29T00:00:00
345,2017,ESCOLA MUNICIPAL DA IPUTINGA,2017-02-11T00:00:00,2017-12-22T00:00:00
346,2017,ESO CENTRO EDUCACIONAL,2017-02-02T00:00:00,2017-12-30T00:00:00
347,2017,ESCOLA MUNICIPAL VILA SAO MIGUEL,2017-02-03T00:00:00,2017-12-22T00:00:00
348,2017,ESCOLA MUNICIPAL CHICO SCIENCE,2017-02-03T00:00:00,2017-12-22T00:00:00
349,2017,CENTRO PROFISSIONAL II,,
350,2017,ESCOLA MUNICIPAL PROFESSOR JULIO DE OLIVEIRA,2017-02-02T00:00:00,2017-12-22T00:00:00
351,2017,ESCOLA BEM-ME-QUER - FALCAO CENTRO CULTURAL LTDA,2017-02-01T00:00:00,2017-12-15T00:00:00
352,2017,ESCOLA MUNICIPAL MENINO JESUS,2017-02-03T00:00:00,2017-12-22T00:00:00
353,2017,COLEGIO MONTE LIBANO,2017-02-01T00:00:00,2017-12-29T00:00:00
354,2017,ASSIST E PROM SOCIAL EXERC DE SALVAC,,
355,2017,EDUCANDARIO SAO JOAO BOSCO,,
356,2017,FACULDADE JOAQUIM NABUCO RECIFE - CAMPUS - SEDE,,
357,2017,ASS DOS MOR DA AV HILDEBRNADO DE VASCONCELOS,,
358,2017,CENTRO EDUCACIONAL SAO CAMILO,,
359,2017,GRUPO DE APOIO PEDAGOGICO GAP,,
360,2017,INSTITUTO ANNA CAROLINA,,
361,2017,COMUNITARIA DA ASSOCIACAO DE MORADORES DA UR3,,
362,2017,COLEGIO SETE DE SETEMBRO,,
363,2017,CENTRO EDUCACIONAL DE ESPORTE E LAZER,,
364,2017,CENTRO CRISTAO DE EDUCACAO POPULAR,,
365,2017,ESCOLA INSTITUTO BATISTA,,
366,2017,GR DE MAES UNIDAS 2 CARNEIROS E CONJ RES 27 DE NOV,,
367,2017,IGREJA EVANGELICA BATISTA REMIDOS DO SENHOR,,
368,2017,CLUBE DE MAES C DE JESUS DA C E ADOLESCENTE E IDO,,
369,2017,ASSOCIACAO DE MORADORES DP B DA MANGUEIRA,,
370,2017,EDUCANDARIO SAO JOSE,,
371,2017,GRUPO DEFENSIVO DAS MAES DO BAIRRO DA IPUTINGA,,
372,2017,COLEGIO DESENVOLVER,,
373,2017,CODASCIBRA,,
374,2017,EDUCANDARIO MARTA PATRICIO,,
375,2017,ESCOLA SIMONE MARIA,,
376,2017,GREMIO RECREATIVO ESC DE SAMBA BAROES DO CORREGO,,
377,2017,ESCOLA MESTRE VITALINO,,
378,2017,COLEGIO BARAO DO RIO BRANCO,,
379,2017,INSTITUTO SANTA CLARA,,
380,2017,COMISSAO DE SAUDE INDEP DE RODA DE FOGO,,
381,2017,COLEGIO EQUIPE,2017-02-01T00:00:00,2017-12-30T00:00:00
382,2017,INSTITUTO RENASCER,,
383,2017,COLEGIO E CURSO INDEPENDENCIA,,
384,2017,SOCIEDADE EDUCACIONAL COLEGIO CARNEIRO LEAO,,
385,2017,IPADCENED- CENTRO DE ENSINO A DISTANCIA E EDUCACAO CONTINUADA,,
386,2017,ESCOLINHA PARAISO DA CRIANCA,,
387,2017,ESCOLINHA ABC,,
388,2017,ASSOCIACAO DE MORADORES DO VISGUEIRO,,
389,2017,COLEGIO HORIZONTE,2017-02-01T00:00:00,2017-12-29T00:00:00
390,2017,COLEGIO REINO DE JUDA,2017-02-01T00:00:00,2017-12-29T00:00:00
391,2017,ESCOLA MUNICIPAL DE DOIS RIOS,2017-02-03T00:00:00,2017-12-22T00:00:00
392,2017,CMEI DOUTOR ALBERICO DORNELAS CAMARA,2017-02-03T00:00:00,2017-12-22T00:00:00
393,2017,ESCOLA MUNICIPAL CELIA ARRAES,2017-02-11T00:00:00,2017-12-22T00:00:00
394,2017,ESCOLA REGUEIRA COSTA,2017-02-02T00:00:00,2017-12-22T00:00:00
395,2017,ESCOLA MUNICIPAL DEPUTADO FERNANDO SAMPAIO,2017-02-02T00:00:00,2017-12-29T00:00:00
396,2017,ESCOLA DE REFERENCIA EM ENSINO MEDIO SENADOR PAULO PESSOA GUERRA,2017-02-02T00:00:00,2017-12-22T00:00:00
