,nome,endereco,latitude,longitude
76,MERCADO ENCRUZILHADA-02,"R. Dr. José Maria, 616 - Encruzilhada, Recife - PE, 52041-015, Brazil",-8.03565480664902,-34.8974258112478
77,MERCADO ENCRUZILHADA-03,"Mercado da Encruzilhada - R. Dr. José Maria, s/n - box 220 - Encruzilhada, Recife - PE, 52041-015, Brazil",-8.03662616550316,-34.8922432174038
78,MERCADO ENCRUZILHADA-04,"R. Dr. José Maria, 616 - Encruzilhada, Recife - PE, 52041-015, Brazil",-8.03565480664902,-34.8974258112479
79,MERCADO ENCRUZILHADA-05,"R. Dr. José Maria, 616 - Encruzilhada, Recife - PE, 52041-015, Brazil",-8.03565480664902,-34.8974258112479
80,MERCADO ENCRUZILHADA-06,"R. Dr. José Maria, 616 - Encruzilhada, Recife - PE, 52041-015, Brazil",-8.03565480664902,-34.8974258112479
81,MERCADO ENCRUZILHADA-07,"R. Dr. José Maria, 616 - Encruzilhada, Recife - PE, 52041-015, Brazil",-8.03565480664902,-34.8974258112479
82,MERCADO ENCRUZILHADA-08,"R. Dr. José Maria, 616 - Encruzilhada, Recife - PE, 52041-015, Brazil",-8.03565480664902,-34.8974258112479
83,MERCADO MADALENA-01,"R. Real da Torre, 521 - Madalena, Recife - PE, 50610-000, Brazil",-8.05239831426946,-34.9086483451154
84,MERCADO MADALENA-02,"Rua Real da Torre, Mercado da Madalena - Box 61 a 66 - Madalena - Madalena, Recife - PE, 50610-000, Brazil",-8.05222085473404,-34.9085671904131
85,MERCADO MADALENA-03,"R. Dr. João Coimbra, 1 - Madalena, Recife - PE, 50610-310, Brazil",-8.05223134230499,-34.9087551984114
86,MERCADO MADALENA-04,"R. Real da Torre, 521 - Madalena, Recife - PE, 50610-000, Brazil",-8.05213564320988,-34.9085592464132
87,MERCADO MADALENA-05,"Rua Real Torre - s/n bx 34/35 - Madalena, Recife - PE, 50610-000, Brazil",-8.05255514592487,-34.9088161024108
88,MERCADO MADALENA-06,"R. Real da Torre, 521 - Madalena, Recife - PE, 50610-000, Brazil",-8.05213171036987,-34.9085393864134
89,MERCADO MADALENA-07,"R. Real da Torre, 521 - Madalena, Recife - PE, 50610-000, Brazil",-8.05263401194334,-34.9086196872925
90,MERCADO MADALENA-08,"Rua Real da Torre, Mercado da Madalena - Box 61 a 66 - Madalena - Madalena, Recife - PE, 50610-000, Brazil",-8.05225523542391,-34.9085292325091
91,MERCADO SANTA RITA-01,"Cais Santa Rita, 626 - São José, Recife - PE, 50020-705, Brazil",-8.07096773205401,-34.8769407877391
92,MERCADO SANTA RITA-02,"Cais Santa Rita, 626 - São José, Recife - PE, 50020-705, Brazil",-8.07096773205401,-34.8769407877391
93,MERCADO SANTA RITA-03,"Cais Santa Rita, 626 - São José, Recife - PE, 50020-705, Brazil",-8.07096773205401,-34.8769407877391
94,MERCADO SANTA RITA-04,"Cais Santa Rita, 626 - São José, Recife - PE, 50020-705, Brazil",-8.07096773205401,-34.8769407877391
